tahi
rua
toru
whaa
rima
ono
whitu
waru
iwa
tekau
tekau maa tahi
tekau maa rua
tekau maa toru
tekau maa whaa
tekau maa rima
tekau maa ono
tekau maa whitu
tekau maa waru
tekau maa iwa
rua tekau
rua tekau maa tahi
rua tekau maa rua
rua tekau maa toru
rua tekau maa whaa
rua tekau maa rima
rua tekau maa ono
rua tekau maa whitu
rua tekau maa waru
rua tekau maa iwa
toru tekau
toru tekau maa tahi
toru tekau maa rua
toru tekau maa toru
toru tekau maa whaa
toru tekau maa rima
toru tekau maa ono
toru tekau maa whitu
toru tekau maa waru
toru tekau maa iwa
wha tekau
wha tekau maa tahi
wha tekau maa rua
wha tekau maa toru
wha tekau maa whaa
wha tekau maa rima
wha tekau maa ono
wha tekau maa whitu
wha tekau maa waru
wha tekau maa iwa
rima tekau
rima tekau maa tahi
rima tekau maa rua
rima tekau maa toru
rima tekau maa whaa
rima tekau maa rima
rima tekau maa ono
rima tekau maa whitu
rima tekau maa waru
rima tekau maa iwa
ono tekau
ono tekau maa tahi
ono tekau maa rua
ono tekau maa toru
ono tekau maa whaa
ono tekau maa rima
ono tekau maa ono
ono tekau maa whitu
ono tekau maa waru
ono tekau maa iwa
whitu tekau
whitu tekau maa tahi
whitu tekau maa rua
whitu tekau maa toru
whitu tekau maa whaa
whitu tekau maa rima
whitu tekau maa ono
whitu tekau maa whitu
whitu tekau maa waru
whitu tekau maa iwa
waru tekau
waru tekau maa tahi
waru tekau maa rua
waru tekau maa toru
waru tekau maa whaa
waru tekau maa rima
waru tekau maa ono
waru tekau maa whitu
waru tekau maa waru
waru tekau maa iwa
iwa tekau
iwa tekau maa tahi
iwa tekau maa rua
iwa tekau maa toru
iwa tekau maa whaa
iwa tekau maa rima
iwa tekau maa ono
iwa tekau maa whitu
iwa tekau maa waru
iwa tekau maa iwa
